Gen 1:    aveUtil = 102.98439999999998
Gen 2:    aveUtil = 108.73780000000004
Gen 3:    aveUtil = 113.2094000000001
Gen 4:    aveUtil = 119.32379999999999
Gen 5:    aveUtil = 125.35240000000005
Gen 6:    aveUtil = 132.79759999999996
Gen 7:    aveUtil = 140.17280000000005
Gen 8:    aveUtil = 149.97679999999988
Gen 9:    aveUtil = 159.56700000000006
Gen 10:    aveUtil = 167.25220000000004
Gen 11:    aveUtil = 175.95819999999995
Gen 12:    aveUtil = 181.6695999999999
Gen 13:    aveUtil = 188.34299999999993
Gen 14:    aveUtil = 192.24280000000005
Gen 15:    aveUtil = 195.88700000000009
Gen 16:    aveUtil = 201.29259999999996
Gen 17:    aveUtil = 203.9152000000002
Gen 18:    aveUtil = 207.22
Gen 19:    aveUtil = 210.73279999999983
Gen 20:    aveUtil = 213.51999999999998
Gen 21:    aveUtil = 218.36399999999966
Gen 22:    aveUtil = 222.21519999999992
Gen 23:    aveUtil = 225.63940000000005
Gen 24:    aveUtil = 230.86559999999994
Gen 25:    aveUtil = 231.57459999999978
Gen 26:    aveUtil = 234.99819999999985
Gen 27:    aveUtil = 238.74859999999987
Gen 28:    aveUtil = 241.24740000000023
Gen 29:    aveUtil = 245.03160000000005
Gen 30:    aveUtil = 244.73779999999982
Gen 31:    aveUtil = 249.55719999999985
Gen 32:    aveUtil = 250.45299999999997
Gen 33:    aveUtil = 249.16379999999995
Gen 34:    aveUtil = 259.9036000000001
Gen 35:    aveUtil = 258.9393999999999
Gen 36:    aveUtil = 261.27579999999995
Gen 37:    aveUtil = 263.1134
Gen 38:    aveUtil = 261.8070000000001
Gen 39:    aveUtil = 267.37119999999953
Gen 40:    aveUtil = 271.1103999999995
Gen 41:    aveUtil = 274.77439999999956
Gen 42:    aveUtil = 267.92699999999985
Gen 43:    aveUtil = 270.1452000000001
Gen 44:    aveUtil = 271.76099999999974
Gen 45:    aveUtil = 274.78899999999976
Gen 46:    aveUtil = 275.4974
Gen 47:    aveUtil = 273.67799999999966
Gen 48:    aveUtil = 270.39999999999975
Gen 49:    aveUtil = 274.8541999999998
Gen 50:    aveUtil = 276.4031999999998
Gen 51:    aveUtil = 276.7697999999997
Gen 52:    aveUtil = 277.0517999999998
Gen 53:    aveUtil = 279.8327999999998
Gen 54:    aveUtil = 277.55240000000015
Gen 55:    aveUtil = 278.8888000000001
Gen 56:    aveUtil = 281.7022000000003
Gen 57:    aveUtil = 279.21040000000016
Gen 58:    aveUtil = 281.0584
Gen 59:    aveUtil = 281.5295999999999
Gen 60:    aveUtil = 284.6777999999999
Gen 61:    aveUtil = 283.58439999999996
Gen 62:    aveUtil = 282.0125999999997
Gen 63:    aveUtil = 285.25499999999977
Gen 64:    aveUtil = 286.6873999999996
Gen 65:    aveUtil = 285.01179999999994
Gen 66:    aveUtil = 288.2496
Gen 67:    aveUtil = 286.50360000000023
Gen 68:    aveUtil = 286.36080000000027
Gen 69:    aveUtil = 288.6586000000004
Gen 70:    aveUtil = 288.51
Gen 71:    aveUtil = 292.577
Gen 72:    aveUtil = 298.1959999999997
Gen 73:    aveUtil = 299.1765999999999
Gen 74:    aveUtil = 301.9162000000004
Gen 75:    aveUtil = 295.8027999999998
Gen 76:    aveUtil = 308.1223999999996
Gen 77:    aveUtil = 298.6685999999999
Gen 78:    aveUtil = 307.20640000000003
Gen 79:    aveUtil = 305.6476000000006
Gen 80:    aveUtil = 309.1748000000004
Gen 81:    aveUtil = 313.2158000000002
Gen 82:    aveUtil = 314.68659999999977
Gen 83:    aveUtil = 315.09720000000027
Gen 84:    aveUtil = 316.53460000000047
Gen 85:    aveUtil = 320.90240000000057
Gen 86:    aveUtil = 318.9456000000002
Gen 87:    aveUtil = 311.9256000000001
Gen 88:    aveUtil = 321.17900000000003
Gen 89:    aveUtil = 328.83020000000045
Gen 90:    aveUtil = 320.0764
Gen 91:    aveUtil = 326.70700000000016
Gen 92:    aveUtil = 328.01979999999963
Gen 93:    aveUtil = 328.28219999999965
Gen 94:    aveUtil = 325.0331999999996
Gen 95:    aveUtil = 321.5407999999998
Gen 96:    aveUtil = 326.9666
Gen 97:    aveUtil = 329.2245999999999
Gen 98:    aveUtil = 331.6802000000001
Gen 99:    aveUtil = 331.2048000000002
Gen 100:    aveUtil = 329.52279999999996
Gen 101:    aveUtil = 335.0055999999999
Gen 102:    aveUtil = 340.86660000000023
Gen 103:    aveUtil = 335.58480000000066
Gen 104:    aveUtil = 339.8722000000002
Gen 105:    aveUtil = 334.19140000000027
Gen 106:    aveUtil = 338.9480000000001
Gen 107:    aveUtil = 342.25580000000036
Gen 108:    aveUtil = 345.09280000000035
Gen 109:    aveUtil = 340.66680000000065
Gen 110:    aveUtil = 346.44640000000095
Gen 111:    aveUtil = 345.42860000000064
Gen 112:    aveUtil = 346.24940000000043
Gen 113:    aveUtil = 345.4174000000003
Gen 114:    aveUtil = 342.74020000000024
Gen 115:    aveUtil = 346.4456000000002
Gen 116:    aveUtil = 346.96180000000027
Gen 117:    aveUtil = 353.0320000000001
Gen 118:    aveUtil = 348.56100000000015
Gen 119:    aveUtil = 355.79879999999974
Gen 120:    aveUtil = 354.3384
Gen 121:    aveUtil = 345.0153999999997
Gen 122:    aveUtil = 352.4845999999999
Gen 123:    aveUtil = 358.3003999999999
Gen 124:    aveUtil = 363.72240000000005
Gen 125:    aveUtil = 355.63460000000026
Gen 126:    aveUtil = 364.5028000000001
Gen 127:    aveUtil = 364.6218000000001
Gen 128:    aveUtil = 352.7851999999998
Gen 129:    aveUtil = 362.35640000000006
Gen 130:    aveUtil = 360.5352
Gen 131:    aveUtil = 357.59099999999967
Gen 132:    aveUtil = 351.66760000000005
Gen 133:    aveUtil = 364.0785999999999
Gen 134:    aveUtil = 353.55599999999964
Gen 135:    aveUtil = 361.95839999999976
Gen 136:    aveUtil = 369.04259999999977
Gen 137:    aveUtil = 362.61819999999966
Gen 138:    aveUtil = 369.1611999999995
Gen 139:    aveUtil = 370.5975999999997
Gen 140:    aveUtil = 367.2187999999994
Gen 141:    aveUtil = 369.0249999999997
Gen 142:    aveUtil = 365.6636000000002
Gen 143:    aveUtil = 370.38520000000057
Gen 144:    aveUtil = 369.4940000000001
