Gen 1:    maxUtil = 176.4    aveUtil = 102.479
Gen 2:    maxUtil = 182.8    aveUtil = 107.171
Gen 3:    maxUtil = 182.8    aveUtil = 112.21
Gen 4:    maxUtil = 198.5    aveUtil = 118.493
Gen 5:    maxUtil = 214.1    aveUtil = 126.406
Gen 6:    maxUtil = 214.1    aveUtil = 135.132
Gen 7:    maxUtil = 230.8    aveUtil = 143.7
Gen 8:    maxUtil = 231.3    aveUtil = 152.996
Gen 9:    maxUtil = 253.8    aveUtil = 161.842
Gen 10:    maxUtil = 253.8    aveUtil = 170.658
Gen 11:    maxUtil = 284.8    aveUtil = 178.421
Gen 12:    maxUtil = 288.3    aveUtil = 185.814
Gen 13:    maxUtil = 288.3    aveUtil = 193.666
Gen 14:    maxUtil = 298.5    aveUtil = 201.034
Gen 15:    maxUtil = 306.9    aveUtil = 208.673
Gen 16:    maxUtil = 306.9    aveUtil = 216.991
Gen 17:    maxUtil = 315.9    aveUtil = 225.05
Gen 18:    maxUtil = 319.8    aveUtil = 231.318
Gen 19:    maxUtil = 319.9    aveUtil = 237.984
Gen 20:    maxUtil = 332.2    aveUtil = 243.559
Gen 21:    maxUtil = 332.2    aveUtil = 248.041
Gen 22:    maxUtil = 339.0    aveUtil = 252.825
Gen 23:    maxUtil = 342.8    aveUtil = 257.542
Gen 24:    maxUtil = 350.9    aveUtil = 262.878
Gen 25:    maxUtil = 350.9    aveUtil = 264.173
Gen 26:    maxUtil = 352.4    aveUtil = 271.074
Gen 27:    maxUtil = 352.4    aveUtil = 272.831
Gen 28:    maxUtil = 357.8    aveUtil = 276.169
Gen 29:    maxUtil = 376.9    aveUtil = 277.243
Gen 30:    maxUtil = 376.9    aveUtil = 281.042
Gen 31:    maxUtil = 376.9    aveUtil = 285.906
Gen 32:    maxUtil = 376.9    aveUtil = 287.974
Gen 33:    maxUtil = 376.9    aveUtil = 291.814
Gen 34:    maxUtil = 381.9    aveUtil = 293.947
Gen 35:    maxUtil = 384.6    aveUtil = 296.862
Gen 36:    maxUtil = 408.3    aveUtil = 299.619
Gen 37:    maxUtil = 408.3    aveUtil = 302.886
Gen 38:    maxUtil = 408.3    aveUtil = 303.257
Gen 39:    maxUtil = 408.3    aveUtil = 301.34
Gen 40:    maxUtil = 408.3    aveUtil = 304.305
Gen 41:    maxUtil = 408.3    aveUtil = 307.153
Gen 42:    maxUtil = 408.3    aveUtil = 311.256
Gen 43:    maxUtil = 408.3    aveUtil = 311.666
Gen 44:    maxUtil = 408.3    aveUtil = 314.598
Gen 45:    maxUtil = 408.3    aveUtil = 313.823
Gen 46:    maxUtil = 408.3    aveUtil = 318.965
Gen 47:    maxUtil = 408.3    aveUtil = 320.019
Gen 48:    maxUtil = 408.3    aveUtil = 322.671
Gen 49:    maxUtil = 408.3    aveUtil = 322.594
Gen 50:    maxUtil = 410.3    aveUtil = 324.99
Gen 51:    maxUtil = 410.3    aveUtil = 326.446
Gen 52:    maxUtil = 417.1    aveUtil = 325.285
Gen 53:    maxUtil = 417.7    aveUtil = 330.178
Gen 54:    maxUtil = 417.7    aveUtil = 331.798
Gen 55:    maxUtil = 417.7    aveUtil = 336.626
Gen 56:    maxUtil = 417.7    aveUtil = 335.307
Gen 57:    maxUtil = 417.7    aveUtil = 337.277
Gen 58:    maxUtil = 418.2    aveUtil = 340.831
Gen 59:    maxUtil = 418.8    aveUtil = 340.47
Gen 60:    maxUtil = 434.4    aveUtil = 343.477
Gen 61:    maxUtil = 434.4    aveUtil = 344.338
Gen 62:    maxUtil = 442.0    aveUtil = 344.744
Gen 63:    maxUtil = 442.0    aveUtil = 346.862
Gen 64:    maxUtil = 442.0    aveUtil = 348.507
Gen 65:    maxUtil = 447.8    aveUtil = 352.356
Gen 66:    maxUtil = 447.8    aveUtil = 352.424
Gen 67:    maxUtil = 452.6    aveUtil = 353.288
Gen 68:    maxUtil = 452.6    aveUtil = 355.687
Gen 69:    maxUtil = 452.6    aveUtil = 357.935
Gen 70:    maxUtil = 452.6    aveUtil = 358.234
Gen 71:    maxUtil = 452.6    aveUtil = 359.012
Gen 72:    maxUtil = 452.6    aveUtil = 363.833
Gen 73:    maxUtil = 452.6    aveUtil = 364.442
Gen 74:    maxUtil = 452.6    aveUtil = 366.262
Gen 75:    maxUtil = 452.6    aveUtil = 369.35
Gen 76:    maxUtil = 452.6    aveUtil = 371.185
Gen 77:    maxUtil = 455.9    aveUtil = 370.74
Gen 78:    maxUtil = 455.9    aveUtil = 372.815
Gen 79:    maxUtil = 456.2    aveUtil = 375.549
Gen 80:    maxUtil = 457.5    aveUtil = 378.29
Gen 81:    maxUtil = 457.5    aveUtil = 377.153
Gen 82:    maxUtil = 466.3    aveUtil = 381.723
Gen 83:    maxUtil = 466.3    aveUtil = 381.86
Gen 84:    maxUtil = 475.1    aveUtil = 384.933
Gen 85:    maxUtil = 475.1    aveUtil = 384.709
Gen 86:    maxUtil = 475.1    aveUtil = 384.367
Gen 87:    maxUtil = 475.1    aveUtil = 390.354
Gen 88:    maxUtil = 475.1    aveUtil = 390.956
Gen 89:    maxUtil = 475.1    aveUtil = 390.15
Gen 90:    maxUtil = 475.1    aveUtil = 392.503
Gen 91:    maxUtil = 479.2    aveUtil = 398.606
Gen 92:    maxUtil = 479.2    aveUtil = 396.425
Gen 93:    maxUtil = 479.2    aveUtil = 396.308
Gen 94:    maxUtil = 479.2    aveUtil = 400.047
Gen 95:    maxUtil = 479.2    aveUtil = 399.622
Gen 96:    maxUtil = 479.2    aveUtil = 401.031
Gen 97:    maxUtil = 479.2    aveUtil = 402.585
Gen 98:    maxUtil = 479.2    aveUtil = 404.749
Gen 99:    maxUtil = 479.2    aveUtil = 406.786
Gen 100:    maxUtil = 482.4    aveUtil = 409.4
Gen 101:    maxUtil = 482.4    aveUtil = 409.44
Gen 102:    maxUtil = 482.4    aveUtil = 410.968
Gen 103:    maxUtil = 485.6    aveUtil = 412.618
Gen 104:    maxUtil = 485.7    aveUtil = 412.775
Gen 105:    maxUtil = 485.7    aveUtil = 415.296
Gen 106:    maxUtil = 486.9    aveUtil = 415.616
Gen 107:    maxUtil = 487.3    aveUtil = 416.189
Gen 108:    maxUtil = 487.3    aveUtil = 418.747
Gen 109:    maxUtil = 487.3    aveUtil = 419.131
Gen 110:    maxUtil = 492.9    aveUtil = 419.275
Gen 111:    maxUtil = 498.1    aveUtil = 422.365
Gen 112:    maxUtil = 498.1    aveUtil = 425.059
Gen 113:    maxUtil = 498.6    aveUtil = 424.606
Gen 114:    maxUtil = 498.6    aveUtil = 425.492
Gen 115:    maxUtil = 505.0    aveUtil = 428.017
Gen 116:    maxUtil = 513.5    aveUtil = 428.293
Gen 117:    maxUtil = 513.5    aveUtil = 430.143
Gen 118:    maxUtil = 513.5    aveUtil = 428.814
Gen 119:    maxUtil = 513.5    aveUtil = 426.687
Gen 120:    maxUtil = 513.6    aveUtil = 432.607
Gen 121:    maxUtil = 513.6    aveUtil = 433.844
Gen 122:    maxUtil = 513.6    aveUtil = 435.45
Gen 123:    maxUtil = 513.6    aveUtil = 433.843
Gen 124:    maxUtil = 513.6    aveUtil = 431.856
Gen 125:    maxUtil = 513.6    aveUtil = 433.822
Gen 126:    maxUtil = 513.6    aveUtil = 436.715
Gen 127:    maxUtil = 513.6    aveUtil = 436.843
Gen 128:    maxUtil = 513.6    aveUtil = 439.557
Gen 129:    maxUtil = 513.6    aveUtil = 440.816
Gen 130:    maxUtil = 513.6    aveUtil = 441.894
Gen 131:    maxUtil = 513.6    aveUtil = 444.421
Gen 132:    maxUtil = 513.6    aveUtil = 448.278
Gen 133:    maxUtil = 518.2    aveUtil = 445.839
Gen 134:    maxUtil = 518.2    aveUtil = 445.15
Gen 135:    maxUtil = 518.2    aveUtil = 446.806
Gen 136:    maxUtil = 518.2    aveUtil = 444.861
Gen 137:    maxUtil = 518.2    aveUtil = 446.456
Gen 138:    maxUtil = 521.3    aveUtil = 448.707
Gen 139:    maxUtil = 521.3    aveUtil = 450.953
Gen 140:    maxUtil = 521.3    aveUtil = 453.31
Gen 141:    maxUtil = 521.5    aveUtil = 451.017
Gen 142:    maxUtil = 525.7    aveUtil = 447.948
Gen 143:    maxUtil = 525.7    aveUtil = 453.066
Gen 144:    maxUtil = 527.5    aveUtil = 451.434
Gen 145:    maxUtil = 527.5    aveUtil = 454.841
Gen 146:    maxUtil = 527.5    aveUtil = 454.274
Gen 147:    maxUtil = 529.3    aveUtil = 454.958
Gen 148:    maxUtil = 536.5    aveUtil = 456.009
Gen 149:    maxUtil = 536.5    aveUtil = 455.498
Gen 150:    maxUtil = 536.5    aveUtil = 458.296
Gen 151:    maxUtil = 536.5    aveUtil = 456.965
Gen 152:    maxUtil = 536.5    aveUtil = 457.752
Gen 153:    maxUtil = 536.5    aveUtil = 462.633
Gen 154:    maxUtil = 536.5    aveUtil = 462.899
Gen 155:    maxUtil = 536.5    aveUtil = 460.783
Gen 156:    maxUtil = 536.5    aveUtil = 463.151
Gen 157:    maxUtil = 536.5    aveUtil = 462.738
Gen 158:    maxUtil = 536.5    aveUtil = 466.035
Gen 159:    maxUtil = 536.5    aveUtil = 464.177
Gen 160:    maxUtil = 536.5    aveUtil = 465.795
Gen 161:    maxUtil = 536.5    aveUtil = 465.533
Gen 162:    maxUtil = 536.5    aveUtil = 467.296
Gen 163:    maxUtil = 541.7    aveUtil = 468.366
Gen 164:    maxUtil = 541.7    aveUtil = 464.9
Gen 165:    maxUtil = 541.7    aveUtil = 465.538
Gen 166:    maxUtil = 541.7    aveUtil = 466.225
Gen 167:    maxUtil = 541.7    aveUtil = 469.961
Gen 168:    maxUtil = 541.7    aveUtil = 470.649
Gen 169:    maxUtil = 541.7    aveUtil = 470.285
Gen 170:    maxUtil = 546.0    aveUtil = 470.565
Gen 171:    maxUtil = 546.0    aveUtil = 469.198
Gen 172:    maxUtil = 546.0    aveUtil = 468.418
Gen 173:    maxUtil = 546.0    aveUtil = 469.108
Gen 174:    maxUtil = 546.0    aveUtil = 469.603
Gen 175:    maxUtil = 546.0    aveUtil = 471.685
Gen 176:    maxUtil = 546.0    aveUtil = 476.223
Gen 177:    maxUtil = 546.0    aveUtil = 473.462
Gen 178:    maxUtil = 546.0    aveUtil = 473.567
Gen 179:    maxUtil = 546.0    aveUtil = 475.667
Gen 180:    maxUtil = 546.0    aveUtil = 479.499
Gen 181:    maxUtil = 546.0    aveUtil = 480.373
Gen 182:    maxUtil = 547.1    aveUtil = 478.036
Gen 183:    maxUtil = 547.1    aveUtil = 480.453
Gen 184:    maxUtil = 547.1    aveUtil = 475.8
Gen 185:    maxUtil = 547.1    aveUtil = 479.273
Gen 186:    maxUtil = 552.4    aveUtil = 482.675
Gen 187:    maxUtil = 552.4    aveUtil = 481.718
Gen 188:    maxUtil = 552.4    aveUtil = 479.677
Gen 189:    maxUtil = 552.4    aveUtil = 483.568
Gen 190:    maxUtil = 552.4    aveUtil = 483.027
Gen 191:    maxUtil = 552.4    aveUtil = 480.79
Gen 192:    maxUtil = 552.4    aveUtil = 483.255
Gen 193:    maxUtil = 552.4    aveUtil = 486.033
Gen 194:    maxUtil = 552.4    aveUtil = 486.183
Gen 195:    maxUtil = 552.4    aveUtil = 486.182
Gen 196:    maxUtil = 559.1    aveUtil = 487.547
Gen 197:    maxUtil = 559.1    aveUtil = 486.3
Gen 198:    maxUtil = 564.5    aveUtil = 491.155
Gen 199:    maxUtil = 564.5    aveUtil = 492.216
Gen 200:    maxUtil = 564.5    aveUtil = 488.733
Gen 201:    maxUtil = 564.5    aveUtil = 489.19
Gen 202:    maxUtil = 564.5    aveUtil = 490.125
Gen 203:    maxUtil = 564.5    aveUtil = 491.037
Gen 204:    maxUtil = 564.5    aveUtil = 489.464
Gen 205:    maxUtil = 564.7    aveUtil = 489.132
Gen 206:    maxUtil = 564.7    aveUtil = 491.571
Gen 207:    maxUtil = 565.4    aveUtil = 494.068
Gen 208:    maxUtil = 565.4    aveUtil = 494.966
Gen 209:    maxUtil = 565.4    aveUtil = 495.852
Gen 210:    maxUtil = 565.4    aveUtil = 495.775
Gen 211:    maxUtil = 568.3    aveUtil = 493.929
Gen 212:    maxUtil = 568.3    aveUtil = 494.491
Gen 213:    maxUtil = 568.3    aveUtil = 497.601
Gen 214:    maxUtil = 568.3    aveUtil = 493.603
Gen 215:    maxUtil = 573.0    aveUtil = 496.81
Gen 216:    maxUtil = 573.0    aveUtil = 498.854
Gen 217:    maxUtil = 573.0    aveUtil = 499.774
Gen 218:    maxUtil = 573.0    aveUtil = 498.42
Gen 219:    maxUtil = 573.0    aveUtil = 500.917
Gen 220:    maxUtil = 573.0    aveUtil = 499.543
Gen 221:    maxUtil = 575.3    aveUtil = 499.191
Gen 222:    maxUtil = 578.6    aveUtil = 500.586
Gen 223:    maxUtil = 578.6    aveUtil = 501.187
Gen 224:    maxUtil = 578.6    aveUtil = 501.129
Gen 225:    maxUtil = 578.6    aveUtil = 499.462
Gen 226:    maxUtil = 578.6    aveUtil = 502.353
Gen 227:    maxUtil = 578.6    aveUtil = 500.172
Gen 228:    maxUtil = 578.6    aveUtil = 501.377
Gen 229:    maxUtil = 578.6    aveUtil = 504.41
Gen 230:    maxUtil = 578.6    aveUtil = 505.074
Gen 231:    maxUtil = 578.6    aveUtil = 503.023
Gen 232:    maxUtil = 578.6    aveUtil = 499.622
Gen 233:    maxUtil = 578.6    aveUtil = 504.378
Gen 234:    maxUtil = 578.6    aveUtil = 506.096
Gen 235:    maxUtil = 578.6    aveUtil = 508.264
Gen 236:    maxUtil = 578.6    aveUtil = 508.4
Gen 237:    maxUtil = 578.6    aveUtil = 509.223
Gen 238:    maxUtil = 578.9    aveUtil = 505.701
Gen 239:    maxUtil = 578.9    aveUtil = 511.482
Gen 240:    maxUtil = 578.9    aveUtil = 510.65
Gen 241:    maxUtil = 579.0    aveUtil = 511.327
Gen 242:    maxUtil = 579.0    aveUtil = 510.636
Gen 243:    maxUtil = 579.0    aveUtil = 511.025
Gen 244:    maxUtil = 582.7    aveUtil = 515.165
Gen 245:    maxUtil = 584.2    aveUtil = 515.784
Gen 246:    maxUtil = 584.2    aveUtil = 517.327
Gen 247:    maxUtil = 585.0    aveUtil = 516.25
Gen 248:    maxUtil = 585.0    aveUtil = 516.828
Gen 249:    maxUtil = 585.0    aveUtil = 518.14
Gen 250:    maxUtil = 585.0    aveUtil = 515.774
Gen 251:    maxUtil = 585.0    aveUtil = 518.525
Gen 252:    maxUtil = 585.0    aveUtil = 512.633
Gen 253:    maxUtil = 585.0    aveUtil = 517.162
Gen 254:    maxUtil = 585.0    aveUtil = 518.12
Gen 255:    maxUtil = 585.0    aveUtil = 516.254
Gen 256:    maxUtil = 585.0    aveUtil = 517.139
Gen 257:    maxUtil = 585.0    aveUtil = 522.71
Gen 258:    maxUtil = 585.0    aveUtil = 521.048
Gen 259:    maxUtil = 585.0    aveUtil = 520.397
Gen 260:    maxUtil = 585.0    aveUtil = 521.673
Gen 261:    maxUtil = 587.6    aveUtil = 518.285
Gen 262:    maxUtil = 587.6    aveUtil = 522.923
Gen 263:    maxUtil = 587.7    aveUtil = 522.4
Gen 264:    maxUtil = 587.7    aveUtil = 520.081
Gen 265:    maxUtil = 589.2    aveUtil = 520.241
Gen 266:    maxUtil = 589.2    aveUtil = 522.747
Gen 267:    maxUtil = 589.2    aveUtil = 521.183
Gen 268:    maxUtil = 589.2    aveUtil = 520.949
Gen 269:    maxUtil = 595.4    aveUtil = 518.984
Gen 270:    maxUtil = 595.4    aveUtil = 524.401
Gen 271:    maxUtil = 595.4    aveUtil = 519.529
Gen 272:    maxUtil = 595.4    aveUtil = 521.036
Gen 273:    maxUtil = 595.4    aveUtil = 526.321
Gen 274:    maxUtil = 595.4    aveUtil = 529.757
Gen 275:    maxUtil = 595.4    aveUtil = 528.113
Gen 276:    maxUtil = 595.4    aveUtil = 524.804
Gen 277:    maxUtil = 595.4    aveUtil = 527.082
Gen 278:    maxUtil = 595.4    aveUtil = 526.36
Gen 279:    maxUtil = 596.7    aveUtil = 525.753
Gen 280:    maxUtil = 596.7    aveUtil = 526.679
Gen 281:    maxUtil = 602.8    aveUtil = 529.393
Gen 282:    maxUtil = 602.8    aveUtil = 528.237
Gen 283:    maxUtil = 602.8    aveUtil = 531.327
Gen 284:    maxUtil = 602.8    aveUtil = 532.55
Gen 285:    maxUtil = 602.8    aveUtil = 526.867
Gen 286:    maxUtil = 602.8    aveUtil = 529.171
Gen 287:    maxUtil = 602.8    aveUtil = 525.266
Gen 288:    maxUtil = 602.8    aveUtil = 527.579
Gen 289:    maxUtil = 602.8    aveUtil = 531.371
Gen 290:    maxUtil = 602.8    aveUtil = 530.514
Gen 291:    maxUtil = 602.8    aveUtil = 532.182
Gen 292:    maxUtil = 602.8    aveUtil = 534.676
Gen 293:    maxUtil = 602.8    aveUtil = 532.502
Gen 294:    maxUtil = 605.1    aveUtil = 533.808
Gen 295:    maxUtil = 605.1    aveUtil = 533.602
Gen 296:    maxUtil = 605.1    aveUtil = 533.117
Gen 297:    maxUtil = 605.1    aveUtil = 534.669
Gen 298:    maxUtil = 605.1    aveUtil = 536.327
Gen 299:    maxUtil = 605.1    aveUtil = 534.525
Gen 300:    maxUtil = 609.6    aveUtil = 534.303
Gen 301:    maxUtil = 609.6    aveUtil = 538.341
Gen 302:    maxUtil = 609.6    aveUtil = 540.427
Gen 303:    maxUtil = 609.6    aveUtil = 539.05
Gen 304:    maxUtil = 609.6    aveUtil = 541.479
Gen 305:    maxUtil = 609.6    aveUtil = 539.736
Gen 306:    maxUtil = 609.6    aveUtil = 540.916
Gen 307:    maxUtil = 609.6    aveUtil = 537.9
Gen 308:    maxUtil = 610.4    aveUtil = 539.762
Gen 309:    maxUtil = 610.4    aveUtil = 539.482
Gen 310:    maxUtil = 610.4    aveUtil = 542.411
Gen 311:    maxUtil = 610.4    aveUtil = 545.459
Gen 312:    maxUtil = 610.4    aveUtil = 547.286
Gen 313:    maxUtil = 610.4    aveUtil = 545.633
Gen 314:    maxUtil = 610.4    aveUtil = 548.842
Gen 315:    maxUtil = 612.6    aveUtil = 545.222
Gen 316:    maxUtil = 612.6    aveUtil = 544.023
Gen 317:    maxUtil = 612.6    aveUtil = 543.947
Gen 318:    maxUtil = 614.0    aveUtil = 545.245
Gen 319:    maxUtil = 621.3    aveUtil = 547.105
Gen 320:    maxUtil = 621.3    aveUtil = 548.978
Gen 321:    maxUtil = 621.3    aveUtil = 544.99
Gen 322:    maxUtil = 621.3    aveUtil = 549.573
Gen 323:    maxUtil = 621.3    aveUtil = 553.463
Gen 324:    maxUtil = 621.3    aveUtil = 549.438
Gen 325:    maxUtil = 622.6    aveUtil = 549.041
Gen 326:    maxUtil = 622.6    aveUtil = 554.347
Gen 327:    maxUtil = 622.6    aveUtil = 553.043
Gen 328:    maxUtil = 622.6    aveUtil = 552.643
Gen 329:    maxUtil = 623.8    aveUtil = 554.9
Gen 330:    maxUtil = 623.8    aveUtil = 556.203
Gen 331:    maxUtil = 623.8    aveUtil = 557.828
Gen 332:    maxUtil = 623.8    aveUtil = 554.454
Gen 333:    maxUtil = 625.7    aveUtil = 556.798
Gen 334:    maxUtil = 625.7    aveUtil = 557.056
Gen 335:    maxUtil = 625.7    aveUtil = 556.848
Gen 336:    maxUtil = 625.7    aveUtil = 561.911
Gen 337:    maxUtil = 625.7    aveUtil = 559.074
Gen 338:    maxUtil = 625.7    aveUtil = 554.396
Gen 339:    maxUtil = 627.7    aveUtil = 560.072
Gen 340:    maxUtil = 627.7    aveUtil = 560.206
Gen 341:    maxUtil = 627.7    aveUtil = 561.239
Gen 342:    maxUtil = 627.7    aveUtil = 562.292
Gen 343:    maxUtil = 627.7    aveUtil = 559.843
Gen 344:    maxUtil = 627.7    aveUtil = 562.505
Gen 345:    maxUtil = 634.6    aveUtil = 562.172
Gen 346:    maxUtil = 634.6    aveUtil = 563.495
Gen 347:    maxUtil = 636.2    aveUtil = 565.169
Gen 348:    maxUtil = 636.2    aveUtil = 560.695
Gen 349:    maxUtil = 636.2    aveUtil = 562.719
Gen 350:    maxUtil = 636.2    aveUtil = 562.417
