Gen 1:    aveUtil = 102.795
Gen 2:    aveUtil = 107.781
Gen 3:    aveUtil = 112.714
Gen 4:    aveUtil = 119.629
Gen 5:    aveUtil = 126.845
Gen 6:    aveUtil = 134.055
Gen 7:    aveUtil = 141.477
Gen 8:    aveUtil = 149.918
Gen 9:    aveUtil = 157.298
Gen 10:    aveUtil = 164.503
Gen 11:    aveUtil = 170.116
Gen 12:    aveUtil = 178.915
Gen 13:    aveUtil = 184.487
Gen 14:    aveUtil = 189.955
Gen 15:    aveUtil = 197.497
Gen 16:    aveUtil = 205.404
Gen 17:    aveUtil = 214.178
Gen 18:    aveUtil = 224.202
Gen 19:    aveUtil = 233.222
Gen 20:    aveUtil = 241.177
Gen 21:    aveUtil = 248.461
Gen 22:    aveUtil = 256.596
Gen 23:    aveUtil = 266.056
Gen 24:    aveUtil = 271.827
Gen 25:    aveUtil = 278.72
Gen 26:    aveUtil = 283.772
Gen 27:    aveUtil = 288.499
Gen 28:    aveUtil = 289.785
Gen 29:    aveUtil = 292.632
Gen 30:    aveUtil = 294.311
Gen 31:    aveUtil = 294.247
Gen 32:    aveUtil = 297.193
Gen 33:    aveUtil = 298.714
Gen 34:    aveUtil = 300.839
Gen 35:    aveUtil = 299.828
Gen 36:    aveUtil = 303.669
Gen 37:    aveUtil = 304.44
Gen 38:    aveUtil = 307.427
Gen 39:    aveUtil = 308.515
Gen 40:    aveUtil = 313.589
Gen 41:    aveUtil = 313.502
Gen 42:    aveUtil = 314.935
Gen 43:    aveUtil = 316.87
Gen 44:    aveUtil = 317.632
Gen 45:    aveUtil = 318.055
Gen 46:    aveUtil = 318.043
Gen 47:    aveUtil = 317.687
Gen 48:    aveUtil = 320.656
Gen 49:    aveUtil = 324.322
Gen 50:    aveUtil = 325.096
Gen 51:    aveUtil = 325.916
Gen 52:    aveUtil = 326.148
Gen 53:    aveUtil = 327.759
Gen 54:    aveUtil = 328.88
Gen 55:    aveUtil = 332.526
Gen 56:    aveUtil = 329.645
Gen 57:    aveUtil = 331.714
Gen 58:    aveUtil = 335.219
Gen 59:    aveUtil = 333.455
Gen 60:    aveUtil = 336.322
Gen 61:    aveUtil = 338.274
Gen 62:    aveUtil = 338.754
Gen 63:    aveUtil = 340.434
Gen 64:    aveUtil = 343.511
Gen 65:    aveUtil = 339.201
Gen 66:    aveUtil = 340.612
Gen 67:    aveUtil = 343.889
Gen 68:    aveUtil = 342.654
Gen 69:    aveUtil = 345.964
Gen 70:    aveUtil = 347.466
Gen 71:    aveUtil = 347.512
Gen 72:    aveUtil = 347.083
Gen 73:    aveUtil = 353.515
Gen 74:    aveUtil = 352.04
Gen 75:    aveUtil = 353.485
Gen 76:    aveUtil = 355.688
Gen 77:    aveUtil = 359.272
Gen 78:    aveUtil = 358.404
Gen 79:    aveUtil = 361.165
Gen 80:    aveUtil = 362.181
Gen 81:    aveUtil = 360.386
Gen 82:    aveUtil = 361.145
Gen 83:    aveUtil = 365.437
Gen 84:    aveUtil = 365.36
Gen 85:    aveUtil = 367.747
Gen 86:    aveUtil = 367.539
Gen 87:    aveUtil = 371.875
Gen 88:    aveUtil = 369.953
Gen 89:    aveUtil = 376.259
Gen 90:    aveUtil = 376.645
Gen 91:    aveUtil = 375.108
Gen 92:    aveUtil = 377.351
Gen 93:    aveUtil = 380.096
Gen 94:    aveUtil = 379.145
Gen 95:    aveUtil = 380.51
Gen 96:    aveUtil = 385.276
Gen 97:    aveUtil = 387.143
Gen 98:    aveUtil = 384.396
Gen 99:    aveUtil = 387.97
Gen 100:    aveUtil = 389.071
Gen 101:    aveUtil = 389.578
Gen 102:    aveUtil = 391.323
Gen 103:    aveUtil = 392.247
Gen 104:    aveUtil = 395.067
Gen 105:    aveUtil = 397.648
Gen 106:    aveUtil = 396.161
Gen 107:    aveUtil = 394.438
Gen 108:    aveUtil = 395.687
Gen 109:    aveUtil = 397.039
Gen 110:    aveUtil = 401.076
Gen 111:    aveUtil = 403.803
Gen 112:    aveUtil = 401.293
Gen 113:    aveUtil = 402.274
