Gen 1:	aveUtil = 102.276
Gen 2:	aveUtil = 106.213
Gen 3:	aveUtil = 111.901
Gen 4:	aveUtil = 118.989
Gen 5:	aveUtil = 126.235
Gen 6:	aveUtil = 133.982
Gen 7:	aveUtil = 143.076
Gen 8:	aveUtil = 152.391
Gen 9:	aveUtil = 161.47
Gen 10:	aveUtil = 169.392
Gen 11:	aveUtil = 177.203
Gen 12:	aveUtil = 185.609
Gen 13:	aveUtil = 191.475
Gen 14:	aveUtil = 197.516
Gen 15:	aveUtil = 203.831
Gen 16:	aveUtil = 209.371
Gen 17:	aveUtil = 214.611
Gen 18:	aveUtil = 218.831
Gen 19:	aveUtil = 223.228
Gen 20:	aveUtil = 225.295
Gen 21:	aveUtil = 230.538
Gen 22:	aveUtil = 235.079
Gen 23:	aveUtil = 239.486
Gen 24:	aveUtil = 243.622
Gen 25:	aveUtil = 246.367
Gen 26:	aveUtil = 249.645
Gen 27:	aveUtil = 252.714
Gen 28:	aveUtil = 257.709
Gen 29:	aveUtil = 262.703
Gen 30:	aveUtil = 265.508
Gen 31:	aveUtil = 267.318
Gen 32:	aveUtil = 270.967
Gen 33:	aveUtil = 272.844
Gen 34:	aveUtil = 272.877
Gen 35:	aveUtil = 276.722
Gen 36:	aveUtil = 278.87
Gen 37:	aveUtil = 280.636
Gen 38:	aveUtil = 284.598
Gen 39:	aveUtil = 287.213
Gen 40:	aveUtil = 288.815
Gen 41:	aveUtil = 290.342
Gen 42:	aveUtil = 292.512
Gen 43:	aveUtil = 295.887
Gen 44:	aveUtil = 294.135
Gen 45:	aveUtil = 298.997
Gen 46:	aveUtil = 301.225
Gen 47:	aveUtil = 302.491
Gen 48:	aveUtil = 301.739
Gen 49:	aveUtil = 307.713
Gen 50:	aveUtil = 308.355
Gen 51:	aveUtil = 311.034
Gen 52:	aveUtil = 311.809
Gen 53:	aveUtil = 314.299
Gen 54:	aveUtil = 315.171
Gen 55:	aveUtil = 318.787
Gen 56:	aveUtil = 317.608
Gen 57:	aveUtil = 320.955
Gen 58:	aveUtil = 322.241
Gen 59:	aveUtil = 323.296
Gen 60:	aveUtil = 326.742
Gen 61:	aveUtil = 327.679
Gen 62:	aveUtil = 326.902
Gen 63:	aveUtil = 331.106
Gen 64:	aveUtil = 332.091
Gen 65:	aveUtil = 335.303
Gen 66:	aveUtil = 332.918
Gen 67:	aveUtil = 339.15
Gen 68:	aveUtil = 340.096
Gen 69:	aveUtil = 342.669
Gen 70:	aveUtil = 343.746
Gen 71:	aveUtil = 343.595
Gen 72:	aveUtil = 346.318
Gen 73:	aveUtil = 342.73
Gen 74:	aveUtil = 347.176
Gen 75:	aveUtil = 348.394
Gen 76:	aveUtil = 347.624
Gen 77:	aveUtil = 348.982
Gen 78:	aveUtil = 351.477
Gen 79:	aveUtil = 352.571
Gen 80:	aveUtil = 353.051
Gen 81:	aveUtil = 354.884
Gen 82:	aveUtil = 354.489
Gen 83:	aveUtil = 353.283
Gen 84:	aveUtil = 353.953
Gen 85:	aveUtil = 355.648
Gen 86:	aveUtil = 356.787
Gen 87:	aveUtil = 358.957
Gen 88:	aveUtil = 359.211
